ORDER,UserLanguage,Consent1,Consent2,Consent3,Consent4,Consent5,T_Consent_First Click,T_Consent_Last Click,T_Consent_Page Submit,T_Consent_Click Count,Prolific_ID,T_Prolific_ID_First Click,T_Prolific_ID_Last Click,T_Prolific_ID_Page Submit,T_Prolific_ID_Click Count,T_Gen_Ins_First Click,T_Gen_Ins_Last Click,T_Gen_Ins_Page Submit,T_Gen_Ins_Click Count,Age,Gender,Nationality,Nationality_3_TEXT,English,English_2_TEXT,City,Profession,Football_1,T_Dem_First Click,T_Dem_Last Click,T_Dem_Page Submit,T_Dem_Click Count,GENERATION_FACTOR,GENERATION_NUMERIC,CHAIN,CHAIN_NUM,CONDITION,INDIVIDUAL,T_READING,T_RECALL,RECALL,PRE_RECALL,RECALL_QUALITATIVE
2,EN-GB,YES,YES,YES,YES,YES,1.049,18.701,19.472,14,5cdeaec4f45dda0001820e77,1.602,1.602,2.834,1,6.641,6.641,12.611,1,46,Female,UK,,Yes,,Liverpool ,Optical advisor ,5,1.833,23.093,24.192,14,F2,2,CH12,12,C,JOHN,12.023,67.072,3,2,John is really popular and well liked. He is sociable and gets on well with people. He was voted as team captain 
2,EN-GB,YES,YES,YES,YES,YES,679.794,694.722,700.137,7,5d15f79acc08a30019744de2,4.095,4.095,10.009,1,0,0,11.464,0,31,Female,UK,,Yes,,Southampton,unemployed,2,2.064,35.393,37.068,10,F3,3,CH12,12,C,JOHN,3.547,64.126,4,3,John is popular and a good footballer. He was voted team captain.
2,EN-GB,YES,YES,YES,YES,YES,2.158,24.3,25.083,12,5c408b429deb300001e37556,3.407,9.871,12.937,3,1.837,51.025,52.459,7,45,Female,UK,,Yes,,London,Marketing Manager,5,1.612,27.682,28.793,18,F4,4,CH12,12,C,JOHN,2.282,67.311,3,2,Well liked on and off pitch. Popular. Was voted in as team captain. 
3,EN-GB,YES,YES,YES,YES,YES,12.4,25.759,26.549,9,5b605eb241eac20001466529,1.572,4.044,5.025,2,7.578,7.578,10.858,1,33,Female,UK,,Yes,,Exeter,Volunteer,2,2.011,25.831,27.38,12,F1,1,CH12,12,C,JAMES,17.016,61.672,3,2,"James seems to be the most all-rounded of the three. He is proficient at his skill, he sometimes socialises but is not greatly popular. He wanted to be the captain of the team but only received two votes. "
3,EN-GB,YES,YES,YES,YES,YES,1.049,18.701,19.472,14,5cdeaec4f45dda0001820e77,1.602,1.602,2.834,1,6.641,6.641,12.611,1,46,Female,UK,,Yes,,Liverpool ,Optical advisor ,5,1.833,23.093,24.192,14,F2,2,CH12,12,C,JAMES,12.066,80.98,2,1,James is a really good all rounder at foot ball. He doesnt mix that much out side of football.  Even though he tried to be team captain he only received 2 votes
3,EN-GB,YES,YES,YES,YES,YES,679.794,694.722,700.137,7,5d15f79acc08a30019744de2,4.095,4.095,10.009,1,0,0,11.464,0,31,Female,UK,,Yes,,Southampton,unemployed,2,2.064,35.393,37.068,10,F3,3,CH12,12,C,JAMES,7.303,72.069,2,1,James is a good all-rounder. He tried to be team captain but he only got 2 votes. He doesn't mix much outside of football.
3,EN-GB,YES,YES,YES,YES,YES,2.158,24.3,25.083,12,5c408b429deb300001e37556,3.407,9.871,12.937,3,1.837,51.025,52.459,7,45,Female,UK,,Yes,,London,Marketing Manager,5,1.612,27.682,28.793,18,F4,4,CH12,12,C,JAMES,5.081,66.876,2,1,A good all round player. Liked on the pitch. Tried to become captain but only received 2 votes. Doesn’t socialise much off the pitch. 
1,EN-GB,YES,YES,YES,YES,YES,12.567,18.15,19.078,5,5c1575e62a407b0001ff2a4c,2.109,2.109,4.236,1,12.565,12.565,19.285,1,32,Male,UK,,Yes,,Norwich,Admin Assistant,7,1.101,21.612,23.728,7,F1,1,CH13,13,C,BILL,21.572,103.597,8,6,"Bill is feared by his teammates. He injured two of his teammates in training. He made himself captain. He gets invited to parties, but only because people don't want to upset him. His teammates don't make eye contact with him."
1,EN-GB,YES,YES,YES,YES,YES,0.716,24.5,25.267,19,59ae89b81059c50001afabf1,8.376,27.36,31.086,6,0.693,10.227,12.406,6,51,Female,UK,,Yes,,London ,Accounts ,3,1.456,27.098,28.177,21,F2,2,CH13,13,C,BILL,7.022,76.967,4,3,Bill is a high goal scorer but is not well liked as he is unpleasant. People are scared of him. He gets invited to parties only because they are scared not to invite him 
1,EN-GB,YES,YES,YES,YES,YES,11.474,22.491,23.816,5,5acfc3a85b53cb0001f33361,1.112,1.112,3.3,1,0,0,14.107,0,39,Male,UK,,Yes,,leicester,counsellor,2,1.312,23.576,26.135,9,F3,3,CH13,13,C,BILL,7.566,73.987,4,3,Good goal scorer but not liked as a person. people do things with him out of fear. including party invites
1,EN-GB,YES,YES,YES,YES,YES,2.443,10.202,11.101,10,5d1ae314339da6001612b037,0.559,3.305,5.674,3,0.76,11.027,11.779,4,30,Female,UK,,Yes,,Portsmouth ,Early years teacher ,1,1.23,25.969,26.828,16,F4,4,CH13,13,C,BILL,5.657,61.809,1,1,Bill is a good goal scorer. He is not well liked by his team and not invited to parties 
2,EN-GB,YES,YES,YES,YES,YES,12.567,18.15,19.078,5,5c1575e62a407b0001ff2a4c,2.109,2.109,4.236,1,12.565,12.565,19.285,1,32,Male,UK,,Yes,,Norwich,Admin Assistant,7,1.101,21.612,23.728,7,F1,1,CH13,13,C,JOHN,18.601,76.765,6,4,He is very popular with his teammates. They voted him unanimously to be captain. He scores lots of goals. He's invited to all the parties.
2,EN-GB,YES,YES,YES,YES,YES,0.716,24.5,25.267,19,59ae89b81059c50001afabf1,8.376,27.36,31.086,6,0.693,10.227,12.406,6,51,Female,UK,,Yes,,London ,Accounts ,3,1.456,27.098,28.177,21,F2,2,CH13,13,C,JOHN,5.434,68.265,6,4,John is a very popular person. He gets invited to all the parties. He is team captain and scores lots of goals. He is well liked 
2,EN-GB,YES,YES,YES,YES,YES,11.474,22.491,23.816,5,5acfc3a85b53cb0001f33361,1.112,1.112,3.3,1,0,0,14.107,0,39,Male,UK,,Yes,,leicester,counsellor,2,1.312,23.576,26.135,9,F3,3,CH13,13,C,JOHN,6.713,62.442,5,3,"team captain, scores goals. is well liked and invited to all the parties"
2,EN-GB,YES,YES,YES,YES,YES,2.443,10.202,11.101,10,5d1ae314339da6001612b037,0.559,3.305,5.674,3,0.76,11.027,11.779,4,30,Female,UK,,Yes,,Portsmouth ,Early years teacher ,1,1.23,25.969,26.828,16,F4,4,CH13,13,C,JOHN,2.756,62.419,3,2,John is captain and well liked by his team and invited to parties. 
3,EN-GB,YES,YES,YES,YES,YES,12.567,18.15,19.078,5,5c1575e62a407b0001ff2a4c,2.109,2.109,4.236,1,12.565,12.565,19.285,1,32,Male,UK,,Yes,,Norwich,Admin Assistant,7,1.101,21.612,23.728,7,F1,1,CH13,13,C,JAMES,21.572,61.892,6,4,"He only scored a couple of goals. Wanted to be captain, but only a couple of people voted for him. He is invited to parties only by his closest friends. He is not very influential."
3,EN-GB,YES,YES,YES,YES,YES,0.716,24.5,25.267,19,59ae89b81059c50001afabf1,8.376,27.36,31.086,6,0.693,10.227,12.406,6,51,Female,UK,,Yes,,London ,Accounts ,3,1.456,27.098,28.177,21,F2,2,CH13,13,C,JAMES,7.022,69.087,5,3,James only scored one or two goals. He was not suitable for team captain. He only gets invited to a few parties and only of very close friends.  He is not particularly popular 
3,EN-GB,YES,YES,YES,YES,YES,11.474,22.491,23.816,5,5acfc3a85b53cb0001f33361,1.112,1.112,3.3,1,0,0,14.107,0,39,Male,UK,,Yes,,leicester,counsellor,2,1.312,23.576,26.135,9,F3,3,CH13,13,C,JAMES,7.566,61.581,4,2,onlys scores 1 or 2 goals. not considered for captain. only gets invited to parties by his close friends
3,EN-GB,YES,YES,YES,YES,YES,2.443,10.202,11.101,10,5d1ae314339da6001612b037,0.559,3.305,5.674,3,0.76,11.027,11.779,4,30,Female,UK,,Yes,,Portsmouth ,Early years teacher ,1,1.23,25.969,26.828,16,F4,4,CH13,13,C,JAMES,5.657,61.237,2,2,James scores one or two goals. He is liked and invited to parties. 
1,EN-GB,YES,YES,YES,YES,YES,2.218,33.177,34.838,18,5d384994b394a40017f17f2e,8.319,17.175,20.399,4,2.072,2.072,5.597,1,58,Female,UK,,Yes,,Truro,Civil servant ,2,2.486,45.475,47.232,16,F1,1,CH14,14,C,BILL,29.947,146.674,4,3,"He is not a likeable character, he is disliked by everyone and outside of football he is disliked, he gets invited to parties but only because people don't want to make him angry."
1,EN-GB,YES,YES,YES,YES,YES,3.229,53.367,55.294,25,5d4a698adf42d5000148301a,9.396,10.27,12.597,2,0.671,20.252,22.054,6,31,Female,UK,,Yes,,Bath,Homemaker ,4,1.601,28.046,29.796,14,F2,2,CH14,14,C,BILL,13.578,76.789,3,3,Bill is disliked. Bill is disliked outside of football and only gets invited to parties so he doesn’t get angry. Bill is good at football
1,EN-GB,YES,YES,YES,YES,YES,51.19,68.707,74.198,5,5da7321d7776b10016e1b552,12.142,12.142,14.392,1,0,0,4.726,0,19,Male,UK,,Yes,,Sheffield ,Student ,6,1.568,22.259,23.239,8,F3,3,CH14,14,C,BILL,4.99,61.45,3,3,"Bill is good at football, however, he is disliked at party's and only gets invited so he doesn't get mad "
1,EN-GB,YES,YES,YES,YES,YES,5.656,28.93,29.761,5,5bf2eb5add9bf9000154e8a5,1.389,1.565,3.048,2,0,0,6.079,0,31,Female,UK,,Yes,,Holmfirth,Admin,1,1.319,13.304,14.522,8,F4,4,CH14,14,C,BILL,65.451,61.752,3,3,"Bill is good at football but not liked at parties, he is invited anyway so he doesn't get mad"
2,EN-GB,YES,YES,YES,YES,YES,2.218,33.177,34.838,18,5d384994b394a40017f17f2e,8.319,17.175,20.399,4,2.072,2.072,5.597,1,58,Female,UK,,Yes,,Truro,Civil servant ,2,2.486,45.475,47.232,16,F1,1,CH14,14,C,JOHN,17.761,103.888,5,4,"John is a likeable character, he is good at football, and is always. Invited to parties as everyone wants to hang out with him."
2,EN-GB,YES,YES,YES,YES,YES,3.229,53.367,55.294,25,5d4a698adf42d5000148301a,9.396,10.27,12.597,2,0.671,20.252,22.054,6,31,Female,UK,,Yes,,Bath,Homemaker ,4,1.601,28.046,29.796,14,F2,2,CH14,14,C,JOHN,8.258,66.984,5,4,John is a great footballer. He is like outside of football as well and get invited to a lot of events because people like to hang out with him
2,EN-GB,YES,YES,YES,YES,YES,51.19,68.707,74.198,5,5da7321d7776b10016e1b552,12.142,12.142,14.392,1,0,0,4.726,0,19,Male,UK,,Yes,,Sheffield ,Student ,6,1.568,22.259,23.239,8,F3,3,CH14,14,C,JOHN,3.985,73.288,5,4,John is great at football and is popular at party's because everyone wants to hang out with him
2,EN-GB,YES,YES,YES,YES,YES,5.656,28.93,29.761,5,5bf2eb5add9bf9000154e8a5,1.389,1.565,3.048,2,0,0,6.079,0,31,Female,UK,,Yes,,Holmfirth,Admin,1,1.319,13.304,14.522,8,F4,4,CH14,14,C,JOHN,13.667,70.141,3,3,John is good at football and liked so he is invited to the parties
3,EN-GB,YES,YES,YES,YES,YES,2.218,33.177,34.838,18,5d384994b394a40017f17f2e,8.319,17.175,20.399,4,2.072,2.072,5.597,1,58,Female,UK,,Yes,,Truro,Civil servant ,2,2.486,45.475,47.232,16,F1,1,CH14,14,C,JAMES,13.19,73.31,2,1,James is liked he is average at football and gets invited to parties as everyone enjoys being in his company 
3,EN-GB,YES,YES,YES,YES,YES,3.229,53.367,55.294,25,5d4a698adf42d5000148301a,9.396,10.27,12.597,2,0.671,20.252,22.054,6,31,Female,UK,,Yes,,Bath,Homemaker ,4,1.601,28.046,29.796,14,F2,2,CH14,14,C,JAMES,5.633,61.234,2,1,James is an ok footballer. James is likes outside of football and get invited to lots of events because people like to hang out with him. 
3,EN-GB,YES,YES,YES,YES,YES,51.19,68.707,74.198,5,5da7321d7776b10016e1b552,12.142,12.142,14.392,1,0,0,4.726,0,19,Male,UK,,Yes,,Sheffield ,Student ,6,1.568,22.259,23.239,8,F3,3,CH14,14,C,JAMES,3.281,61.2,1,1,James is ok at football but is liked at party's 
3,EN-GB,YES,YES,YES,YES,YES,5.656,28.93,29.761,5,5bf2eb5add9bf9000154e8a5,1.389,1.565,3.048,2,0,0,6.079,0,31,Female,UK,,Yes,,Holmfirth,Admin,1,1.319,13.304,14.522,8,F4,4,CH14,14,C,JAMES,1.769,61.715,2,1,James is not good at football but he is invited to the parties because he is liked.
1,EN-GB,YES,YES,YES,YES,YES,4.029,10.652,11.527,5,5cf63646f6ce870001399fa7,8.333,8.333,10.501,1,0,0,22.239,0,29,Female,UK,,Yes,,Londond,Admin Assistant,5,1.338,18.445,19.124,7,F1,1,CH15,15,C,BILL,28.923,66.038,6,5,"Bill is a self-appointed captain that most of the team are intimidated by. He is a violent player, the rest of the team do listen intently to him, but without making eye contact."
1,EN-GB,YES,YES,YES,YES,YES,4.015,10.999,11.876,5,5d3cb16ec8f24e00015856c2,3.12,3.12,6.701,1,0,0,8.321,0,27,Male,UK,,Yes,,bristol,receptionist,1,1.467,16.694,17.618,7,F2,2,CH15,15,C,BILL,7.753,61.46,5,4,"Bill is arrogant, aggressive and his team mates fear him. He self appointed himself as captain."
1,EN-GB,YES,YES,YES,YES,YES,4.389,17.948,18.829,5,5da5cbf08f147f0014692a7b,0.547,0.547,2.316,1,0,0,5.049,0,40,Male,UK,,Yes,,Leicester,IT Manager,1,1.116,19.268,20.034,7,F3,3,CH15,15,C,BILL,3.98,164.289,4,3,Bill is arrogant. Appointed himself team captain. Other players in the team do not like him
1,EN-GB,YES,YES,YES,YES,YES,2.83,8.031,9.3,5,568708c6369319000c268f8d,0.977,0.977,2.515,1,0,0,10.511,0,48,Female,UK,,Yes,,Preston,Manager,3,1.275,22.443,23.483,9,F4,4,CH15,15,C,BILL,4.691,181.733,4,3,Is arrogant. He appointed himself as captain of the team and is not liked by anyone in the team.
2,EN-GB,YES,YES,YES,YES,YES,4.029,10.652,11.527,5,5cf63646f6ce870001399fa7,8.333,8.333,10.501,1,0,0,22.239,0,29,Female,UK,,Yes,,Londond,Admin Assistant,5,1.338,18.445,19.124,7,F1,1,CH15,15,C,JOHN,44.215,66.066,7,6,"John is the highest scoring player of the team, he is modest about his skills and respected by his peers. When he talks in meetings,the rest of the team listen intently and hold eye contact. He was voted to be the team captain by a majority."
2,EN-GB,YES,YES,YES,YES,YES,4.015,10.999,11.876,5,5d3cb16ec8f24e00015856c2,3.12,3.12,6.701,1,0,0,8.321,0,27,Male,UK,,Yes,,bristol,receptionist,1,1.467,16.694,17.618,7,F2,2,CH15,15,C,JOHN,7.984,63.527,7,6,"John is very skilled, modest and respected by his peers. People make eye contact with him a listen to him intently. The team voted for him to be captain."
2,EN-GB,YES,YES,YES,YES,YES,4.389,17.948,18.829,5,5da5cbf08f147f0014692a7b,0.547,0.547,2.316,1,0,0,5.049,0,40,Male,UK,,Yes,,Leicester,IT Manager,1,1.116,19.268,20.034,7,F3,3,CH15,15,C,JOHN,5.062,117.75,5,4,John is liked. Other players give him eye contact and listen attentively to him. He was voted by nearly everybody to be the captain
2,EN-GB,YES,YES,YES,YES,YES,2.83,8.031,9.3,5,568708c6369319000c268f8d,0.977,0.977,2.515,1,0,0,10.511,0,48,Female,UK,,Yes,,Preston,Manager,3,1.275,22.443,23.483,9,F4,4,CH15,15,C,JOHN,8.417,180.053,4,3,"John is a well liked person. He is a good football player, All the team like him and nearly all of them voted for him to be team captain"
3,EN-GB,YES,YES,YES,YES,YES,4.029,10.652,11.527,5,5cf63646f6ce870001399fa7,8.333,8.333,10.501,1,0,0,22.239,0,29,Female,UK,,Yes,,Londond,Admin Assistant,5,1.338,18.445,19.124,7,F1,1,CH15,15,C,JAMES,38.336,61.485,5,4,"James has average football skills, he has scored a few goals this season. His team mates don't tend to listen intently when he speaks and only two members of the team voted for him to be the captain. "
3,EN-GB,YES,YES,YES,YES,YES,4.015,10.999,11.876,5,5d3cb16ec8f24e00015856c2,3.12,3.12,6.701,1,0,0,8.321,0,27,Male,UK,,Yes,,bristol,receptionist,1,1.467,16.694,17.618,7,F2,2,CH15,15,C,JAMES,11.315,61.37,5,4,James isn't particularly good at football. His team don't care much for what he says. Only 2 people voted for him to be captain and he's only scored a couple goals for the team.
3,EN-GB,YES,YES,YES,YES,YES,4.389,17.948,18.829,5,5da5cbf08f147f0014692a7b,0.547,0.547,2.316,1,0,0,5.049,0,40,Male,UK,,Yes,,Leicester,IT Manager,1,1.116,19.268,20.034,7,F3,3,CH15,15,C,JAMES,4.573,181.628,4,3,James is not a very good footballer. He has little respect. Almost nobody in the team voted for him to be captain
3,EN-GB,YES,YES,YES,YES,YES,2.83,8.031,9.3,5,568708c6369319000c268f8d,0.977,0.977,2.515,1,0,0,10.511,0,48,Female,UK,,Yes,,Preston,Manager,3,1.275,22.443,23.483,9,F4,4,CH15,15,C,JAMES,5.401,180.007,1,1,"James is not a good footballer, he "
1,EN-GB,YES,YES,YES,YES,YES,5.946,14.681,22.651,5,5d6ad36076cca6001a66d89e,9.262,9.747,14.762,2,0,0,31.497,0,39,Male,UK,,Yes,,telford,electrician,7,3.115,44.115,47.501,8,F1,1,CH16,16,D,BILL,32.244,180.01,2,2,"Overall, Bill comes across as a very violent and angry person with deep problems in his life. Not a nice person to know. A very selfish person."
1,EN-GB,YES,YES,YES,YES,YES,6.701,24.797,25.409,6,5b4f150081684500019ed56c,0.941,0.941,3.019,1,0,0,16.789,0,23,Female,UK,,Yes,,Liverpool,Software Tester,4,1.034,17.385,18.2,8,F2,2,CH16,16,D,BILL,4.378,110.5,0,0,"He isn't a very nice person, he's bad-tempered and unpleasant. "
1,EN-GB,YES,YES,YES,YES,YES,10.498,17.257,18.372,5,55e095c23b268b0011029801,2.866,2.866,7.943,1,0,0,17.182,0,44,Female,UK,,Yes,,Worcester,Overpayments Officer - Local Government,2,1.224,33.258,34.85,7,F3,3,CH16,16,D,BILL,21.501,64.192,0,0,Is not a very nice person.  He is bad tempered and unpleasant.
1,EN-GB,YES,YES,YES,YES,YES,6.487,24.572,26.101,8,59928cc17d29e70001730482,9.977,10.969,15.086,2,4.974,15.886,20.04,2,42,Female,UK,,Yes,,YORK,admin,5,2.255,44.763,46.892,11,F4,4,CH16,16,D,BILL,5.162,62.048,0,0,billis not very nice he is bad tempered
2,EN-GB,YES,YES,YES,YES,YES,5.946,14.681,22.651,5,5d6ad36076cca6001a66d89e,9.262,9.747,14.762,2,0,0,31.497,0,39,Male,UK,,Yes,,telford,electrician,7,3.115,44.115,47.501,8,F1,1,CH16,16,D,JAMES,39.342,180.008,0,0,James is a quiet mild mannered person who could be trusted in times of need. A good person to know. Caring but may lack confidence in larger groups. 
2,EN-GB,YES,YES,YES,YES,YES,6.701,24.797,25.409,6,5b4f150081684500019ed56c,0.941,0.941,3.019,1,0,0,16.789,0,23,Female,UK,,Yes,,Liverpool,Software Tester,4,1.034,17.385,18.2,8,F2,2,CH16,16,D,JAMES,3.521,181.831,0,0,He's caring and very pleasant. 
2,EN-GB,YES,YES,YES,YES,YES,10.498,17.257,18.372,5,55e095c23b268b0011029801,2.866,2.866,7.943,1,0,0,17.182,0,44,Female,UK,,Yes,,Worcester,Overpayments Officer - Local Government,2,1.224,33.258,34.85,7,F3,3,CH16,16,D,JAMES,12.253,63.524,0,0,He is very caring and pleasant.
2,EN-GB,YES,YES,YES,YES,YES,6.487,24.572,26.101,8,59928cc17d29e70001730482,9.977,10.969,15.086,2,4.974,15.886,20.04,2,42,Female,UK,,Yes,,YORK,admin,5,2.255,44.763,46.892,11,F4,4,CH16,16,D,JAMES,2.291,64.401,0,0,James is nice and plesant.
3,EN-GB,YES,YES,YES,YES,YES,5.946,14.681,22.651,5,5d6ad36076cca6001a66d89e,9.262,9.747,14.762,2,0,0,31.497,0,39,Male,UK,,Yes,,telford,electrician,7,3.115,44.115,47.501,8,F1,1,CH16,16,D,JOHN,27.03,93.03,2,2,John is a quiet but well respected confident type of person. Humble at times but could be trusted at times of need.
3,EN-GB,YES,YES,YES,YES,YES,6.701,24.797,25.409,6,5b4f150081684500019ed56c,0.941,0.941,3.019,1,0,0,16.789,0,23,Female,UK,,Yes,,Liverpool,Software Tester,4,1.034,17.385,18.2,8,F2,2,CH16,16,D,JOHN,2.481,181.831,0,0,
3,EN-GB,YES,YES,YES,YES,YES,10.498,17.257,18.372,5,55e095c23b268b0011029801,2.866,2.866,7.943,1,0,0,17.182,0,44,Female,UK,,Yes,,Worcester,Overpayments Officer - Local Government,2,1.224,33.258,34.85,7,F3,3,CH16,16,D,JOHN,,64.912,0,0,I did not see a description of a footballer named John.
3,EN-GB,YES,YES,YES,YES,YES,6.487,24.572,26.101,8,59928cc17d29e70001730482,9.977,10.969,15.086,2,4.974,15.886,20.04,2,42,Female,UK,,Yes,,YORK,admin,5,2.255,44.763,46.892,11,F4,4,CH16,16,D,JOHN,,,0,0,
1,EN-GB,YES,YES,YES,YES,YES,21.035,37.957,38.633,10,5c3205407e0559000172f153,3.364,6.79,7.677,3,5.531,5.531,15.965,1,27,Female,UK,,Yes,,Glasgow,Youth Worker,3,4.233,29.901,30.63,12,F1,1,CH17,17,D,BILL,26.65,118.365,9,7,Bill is an aggressive and hostile football player. He injured two other players playing football recently. Bill decided himself that he would be captain of the football team despite his teammates not getting a vote on this. Bill's teammates are scared of him so they did not contest this. Bill is widely disliked within and outside of football but gets invited to parties anyway because people are scared of him. 
1,EN-GB,YES,YES,YES,YES,YES,0.949,13.201,13.776,17,5da6f924634607001372ca00,0.704,2.323,5.112,2,1.473,11.271,15.272,6,25,Female,UK,,Yes,,Bedford,Wntertainer,1,1.055,22.271,23.26,20,F2,2,CH17,17,D,BILL,24.681,139.556,7,5,"Bill is a very angry, and hostile football player, he injured two players. Most of the team are scared of him, and he voted for himself to be captain of the team despite the fact no one wanted him to be they only agreed because they were scared of him. He isn’t very liked by the team, or outside of football and is only invited to parties because people are scared of him."
1,EN-GB,YES,YES,YES,YES,YES,0.612,10.584,11.377,15,5d355267cf37440001b15e34,1.719,1.719,3.065,1,0.33,0.33,1.392,1,34,Female,UK,,Yes,,Saltburn ,Nurse,3,1.882,16.244,17.353,12,F3,3,CH17,17,D,BILL,8.455,61.94,4,3,"A bully who is team captain, other players are scared of him. Has injured 2 people recently. "
1,EN-GB,YES,YES,YES,YES,YES,22.133,49.429,52.514,5,5b6ca2780d296a000133484d,4.956,6.123,12.684,2,0,0,31.856,0,36,Female,UK,,Yes,,Bradford,Portrait artist,1,2.896,48.8,50.875,8,F4,4,CH17,17,D,BILL,16.369,86.536,2,1,other people are scared of Bill. He's a team captain.
2,EN-GB,YES,YES,YES,YES,YES,21.035,37.957,38.633,10,5c3205407e0559000172f153,3.364,6.79,7.677,3,5.531,5.531,15.965,1,27,Female,UK,,Yes,,Glasgow,Youth Worker,3,4.233,29.901,30.63,12,F1,1,CH17,17,D,JAMES,27.041,154.073,11,9,"James is an adequate football player who scored only a few goals last year. Only 2 of his fellow teammates voted for him to be captain of the team. The team don't really have strong feelings either way about James. During meetings, they will listen to what he has to say but without much enthusiasm and without making eye contact. James is not that popular but gets invited to parties by his closest friends, who like spending time with him."
2,EN-GB,YES,YES,YES,YES,YES,0.949,13.201,13.776,17,5da6f924634607001372ca00,0.704,2.323,5.112,2,1.473,11.271,15.272,6,25,Female,UK,,Yes,,Bedford,Wntertainer,1,1.055,22.271,23.26,20,F2,2,CH17,17,D,JAMES,70.702,88.356,10,8,"James is ok at football, adequate. He only scored a few goals in the last games. No one has enthusiastic feelings towards James either way. They listen to what he has to say with no eye contact, but don’t take it on board too much. Two people voted for him to be captain, he only gets invited to parties by a few friends who like spending time with him."
2,EN-GB,YES,YES,YES,YES,YES,0.612,10.584,11.377,15,5d355267cf37440001b15e34,1.719,1.719,3.065,1,0.33,0.33,1.392,1,34,Female,UK,,Yes,,Saltburn ,Nurse,3,1.882,16.244,17.353,12,F3,3,CH17,17,D,JAMES,7.814,68.348,2,2,"James is quiet not a very good player, adequate, other dont make eye contact with him when he speaks, he never gets invited to parties by orher players"
2,EN-GB,YES,YES,YES,YES,YES,22.133,49.429,52.514,5,5b6ca2780d296a000133484d,4.956,6.123,12.684,2,0,0,31.856,0,36,Female,UK,,Yes,,Bradford,Portrait artist,1,2.896,48.8,50.875,8,F4,4,CH17,17,D,JAMES,14.892,69.876,1,1,James is an adequate player but he doesn't get invited to parties.
3,EN-GB,YES,YES,YES,YES,YES,21.035,37.957,38.633,10,5c3205407e0559000172f153,3.364,6.79,7.677,3,5.531,5.531,15.965,1,27,Female,UK,,Yes,,Glasgow,Youth Worker,3,4.233,29.901,30.63,12,F1,1,CH17,17,D,JOHN,27.85,127.399,12,10,"John is very much admired and well-liked. John is very skilled at football and his team enthusiastically voted for him to be captain. John is modest about his abilities and takes on board what his teammates have to say. When John speaks at meetings, his teammates listen to what he has to say with interest and maintain eye contact throughout. John is popular outside of football as well and gets invited to a lot of parties because people want to spend time with him. "
3,EN-GB,YES,YES,YES,YES,YES,0.949,13.201,13.776,17,5da6f924634607001372ca00,0.704,2.323,5.112,2,1.473,11.271,15.272,6,25,Female,UK,,Yes,,Bedford,Wntertainer,1,1.055,22.271,23.26,20,F2,2,CH17,17,D,JOHN,92.597,73.066,8,6,"John is very popular, and very skilled football player. He’s very loved, and was voted enthusiastically to be football captain. He’s very modest about his skills, and is always invited by a lot of people to parties because they like to spend time with him."
3,EN-GB,YES,YES,YES,YES,YES,0.612,10.584,11.377,15,5d355267cf37440001b15e34,1.719,1.719,3.065,1,0.33,0.33,1.392,1,34,Female,UK,,Yes,,Saltburn ,Nurse,3,1.882,16.244,17.353,12,F3,3,CH17,17,D,JOHN,5.062,61.544,2,2,A popular and likeable player. A good player. Socialises lots with other players.
3,EN-GB,YES,YES,YES,YES,YES,22.133,49.429,52.514,5,5b6ca2780d296a000133484d,4.956,6.123,12.684,2,0,0,31.856,0,36,Female,UK,,Yes,,Bradford,Portrait artist,1,2.896,48.8,50.875,8,F4,4,CH17,17,D,JOHN,15.626,71.407,1,1,John is a nice person and people like him.
1,EN-GB,YES,YES,YES,YES,YES,7.939,32.384,33.961,14,5b859857e23410000171891b,0.901,2.454,6.771,4,20.818,21.432,23.122,2,35,Female,UK,,Yes,,St Albans,Pet sitter ,3,1.446,54.25,56.505,15,F1,1,CH18,18,D,BILL,40.192,136.3,8,6,Bill is violent and aggressive and has injured some team mates. He appointed himself as team captain. He is not a good listener. His teammates are afraid of him. He is only invited to parties because people don�t want to make him angry. 
1,EN-GB,YES,YES,YES,YES,YES,116.796,125.711,127.014,5,5d53bd52b45aff000198103c,8.042,8.042,9.263,1,0,0,7.483,0,29,Female,UK,,Yes,,London,Research Management ,5,1.523,28.358,29.699,10,F2,2,CH18,18,D,BILL,6.185,67.725,2,2,Bill is angry and isn't liked very much. No one voted for him to be captain and people are scared of him.  He doesn't get invited to parties. 
1,EN-GB,YES,YES,YES,YES,YES,10.456,17.435,18.48,5,5b033278c09d0b00018103d9,2.71,3.052,4.995,2,0,0,8.625,0,28,Female,UK,,Yes,,Manchester,Sales Manager,2,1.389,19.535,20.487,12,F3,3,CH18,18,D,BILL,12.134,62.09,1,1,Bill is angry and is not liked by anyone. He doesn't get invited out to parties and no one voted for him to be captain.
1,EN-GB,YES,YES,YES,YES,YES,19.885,35.695,37.647,8,5999a4c87a4189000118cecd,2.526,5.747,6.624,2,6.97,6.97,8.072,1,46,Male,UK,,Yes,,LONDON,IT,3,2.151,27.277,28.362,13,F4,4,CH18,18,D,BILL,10.451,61.553,1,0,"angry, no votes, no invites to parties.  captain."
